"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3,R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"10k";;;
2;"C3";"CP_Radial_D10.0mm_P5.00mm";1;"47uF";;;
3;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"27k";;;
4;"C5,C2";"CP_Radial_D10.0mm_P5.00mm";2;"0.47uF";;;
5;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"220k";;;
6;"C1";"CP_Axial_L11.0mm_D6.0mm_P18.00mm_Horizontal";1;"4.7uF";;;
7;"C4";"CP_Radial_D10.0mm_P5.00mm";1;"33uF";;;
8;"J1,J2";"TerminalBlock_bornier-2_P5.08mm";2;"Conn_01x02";;;
9;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"9V";;;
10;"Q1,Q2";"TO-92L_Inline";2;"Q_NPN_BCE";;;
11;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1.5k";;;
